Achievement             muvaffaqiyat
Actually                aslida
Adult                   kattalar
Afford                  qurbi yetmoq
Ahead                   oldinda
Alarm                   signal
Alien                   o'zga sayyoralik
Alike                   o'xshash
Allergic                allergik
Alternative sources     muqobil manbalar
Amazing                 ajoyib
Ambassador              elchi
Anniversary             yubiley
Announce                e'lon qilish
Appointment             uchrashuv
Archer                  kamonchi
Argue                   bahslashmoq
Arrest                  hibsga olmoq
As a matter of fact     to'grisini aytganda
Association             uyushma
Attach                  biritirmoq
Attempt                 urinib ko'rmoq, urinish
Attend                  qatnashmoq
Attract                 jalb qilmoq
Audition                kichik sahna ko'rinishi
Average                 o'rtacha
Award                   mukofot
Ball                    to'p
Ban                     taqiqlamoq
Band                    guruh
Barrel                  bochka
Be aware of             habardor bo'lmoq
Be under way            yo'lda bo'lmoq
Beard                   soqol
Beyond                  tashqari
Bill                    hisob
Blame                   ayblamoq
Blanket                 adyol
Blast                   portlamoq
Block of flat           kvartiralar majmuasi
Blow up                 portlamoq
Blurred                 xiralashgan
Blush                   qizarmoq
Boil                    qaynatib olmoq
Bomb squad              bomba atriyadi
Book                    kitob
Booklet                 brashura
Border                  chegara
Boring                  zerikarli
Bother                  bezovta qilmoq
Bottle                  shisha
Bridesmaid              kelinning o'rtog'i
Briefcase               portfel
Bronze                  bronza
Bully                   bezori
Burst its               daryo o'zanidan toshmoq
Butler                  bosh xizmatkor
By heart                yurakdan
Campsite                lager
Cancel                  bekor qilmoq
Cast                    quyma
Castle                  qasr
Catering company        shirinlik kompaniyasi
Company                 kompaniya
Caterpiller             ipak qurti
Cathedral               ibodatxona
Cave                    g'or
Cellar                  yertola
Ceremony                rais
Charity                 hayriya
Chase                   ketidan quvmoq
Cheetah                 gepard
Cherry                  gilos
Chess                   shaxmat
Chestnut                kashtan
Chew                    chaynamoq
Childishly              bolalarcha
Choice                  tanlov
Choir                   xor
Citizen                 fuqaro
Claim responsibility    javobgarlikni talab qilmoq 
Client                  mijoz
Cloth                   mato
Coach                   murabbiy
Coal                    Ko'mir
Collect                 yig'moq
Colonise                mustamlaka qilmoq
Colony                  koloniya
Combine                 aralashtirmoq
Commander               qo'mondon
Commercial              tijorat
Companion               hamroh
Complicated             murakkab
Compose                 musiqa yozmoq
Concentrate             fikrini jamlamoq
Confused                chalkash
Congratulate            tabriklamoq
Contact                 aloqa
Contain                 o'z ichiga olmoq
Contest                 musobaqa
Chew                    chaynamoq
Childishly              bolalarcha
Choice                  tanlov
Choir                   xor           
Citizen                 fuqaro
Claim resonsibility     javobgarlikni talab qilmoq
Client                  mijoz
Cloth                   mato
Coach                   murabbiy
Coal                    ko'mir
Collect                 yig'moq
Colonise                mustamlaka qilmoq
Colony                  mustamlaka
Combine                 qo'shmoq
Commander               qo'mondon
Commercial              tijoriy
Companion               hamroh
Complicated             murakkab
Compose                 musiqa yozmoq   
Concentrate             fikrini jamlamoq
Confused                chalkash
Congratulate            tabriklamoq
Contact                 aloqa
Contain                 o'z ichiga olmoq
Contest                 musobaqa
Contestant              ishtirokchi
Convenient              qulay vaqt kunga nisbatan
Conversation            suhbat
Corridor                karidor
Cosy                    shinam
Cottage                 kotej
Cough                   yo'talmoq
Council                 kengash
Count sb in             hisoblamoq
Countryside             qishloq joy
Courier                 kuryer
Course                  kurs
Court                   sud joyi, kort
Crash of thunder        momaqaldiroqning gumburlashi
Creature                mavjudot
Credit  card            kredit kartasi
Creep                   o'rmalashmoq
Crew                    ekipaj
Crops                   ekinlar
Cruise ship             kruiz kemasi
Crusader                tarixdan
Crush                   maydalamoq
Cub                     hayvon bolasi
Cure                    davolamoq
Currently               hozirda
Deck                    paluba
decorate                bezamoq
decrease                pasaymoq
delicious               mazali
deposit                 depozit
depressed               tushkunlikka tushgan
design                  dizayn
destruction             halokat, vayrona
develop                 rivojlantirish
diary                   kundalik
disappointed            hafsalasi pir bo'lmoq
disaster                falokat
disgrace                sharmandalik, iflos
display                 ko'rsatish
distance                masofa
distinguished           taniqli
dive                    sho'ng'imoq
dormant                 mudroq
doubt                   shubhalanmoq
drug                    dori
dry cleaner's           ximchistka
dust                    chang
earthquake              zilzila
election compaign       saylov kompaniyasi
emigrate                hijrat qilmoq
empty                   bo'sh
engaged                 unashtirilgan
entertain               ko'ngil ochish
entire                  butun
entrance                kirish
environmental           ekologik
equip                   jihozlanmoq
equipment               uskunalar
erupt                   otilib chiqmoq
eventually              oxir oqibat
evidence                dalil
evil                    yovuz, yomon
excel                   excel
execute                 bajarmoq, ijro etmoq, qatl etmoq
execution               ijro
executive               ijorchi
exhausted               juda charchagan
exhibition              ko'rgazma
existence               mavjudlik
expand                  kengaytirmoq
expedition              ekspeditsiya
experiment              tajriba
expert                  mutaxassis
explode                 portlamoq
extensively             keng ko'lamda
extinct                 yo'q bo'lib ketgan
extract                 ekstrakti
